fold,user_id,train_sample_count,train_positive_count,train_negative_count,train_like_rate,dev_sample_count,dev_positive_count,dev_negative_count,dev_like_rate,valid_dev_user_auc,dev_pos_neg_pair_count,auc_0p8_standard_error,auc_0p8_95ci_halfwidth,auc_0p616_standard_error,sample_power_flag,champion_user_auc,v2e_user_auc,delta_v2e_minus_champion_user_auc
1,28,72,28,44,0.3888888888888889,14,2,12,0.14285714285714285,True,24,0.2009237924447236,0.39381063319165827,0.23220070110118346,low_dev_samples,0.25,0.25,0.0
1,0,73,9,64,0.1232876712328767,15,6,9,0.4,True,54,0.12636090451282947,0.24766737284514576,0.15432145322164442,low_dev_samples,0.33333333333333337,0.33333333333333337,0.0
1,15,76,13,63,0.17105263157894737,15,7,8,0.4666666666666667,True,56,0.12084359562332875,0.23685344742172434,0.15008777445785948,low_dev_samples,0.5535714285714286,0.5357142857142857,-0.017857142857142905
2,6,25,3,22,0.12,4,0,4,0.0,False,0,,,,invalid_auc_one_class,,,
2,23,54,8,46,0.14814814814814814,9,1,8,0.1111111111111111,True,8,0.28674417556808757,0.5620185841134516,0.3293390903649576,very_low_dev_samples,0.75,0.875,0.125
2,24,55,9,46,0.16363636363636364,9,0,9,0.0,False,0,,,,invalid_auc_one_class,,,
2,29,55,33,22,0.6,9,3,6,0.3333333333333333,True,18,0.17777777777777776,0.3484444444444444,0.21325936170302764,very_low_dev_samples,0.611111111111111,0.5555555555555556,-0.05555555555555547
2,22,62,24,38,0.3870967741935484,10,2,8,0.2,True,16,0.20682789409984761,0.4053826724357013,0.24152390539104018,low_dev_samples,1.0,0.9375,-0.0625
2,25,59,6,53,0.1016949152542373,10,0,10,0.0,False,0,,,,invalid_auc_one_class,,,
2,27,62,32,30,0.5161290322580645,10,3,7,0.3,True,21,0.1745743121887939,0.34216565189003606,0.20802927935196047,low_dev_samples,0.42857142857142855,0.42857142857142855,0.0
2,1,65,24,41,0.36923076923076925,11,6,5,0.5454545454545454,True,30,0.13877773329774215,0.27200435726357464,0.17562694987957336,low_dev_samples,0.7333333333333334,0.7,-0.03333333333333344
2,3,67,34,33,0.5074626865671642,11,8,3,0.7272727272727273,True,24,0.1427248064296125,0.27974062060204047,0.19107839474855312,low_dev_samples,0.5833333333333334,0.7916666666666667,0.20833333333333337
2,9,65,38,27,0.5846153846153846,11,3,8,0.2727272727272727,True,24,0.17213259316477408,0.3373798826029572,0.20401875000347625,low_dev_samples,0.6666666666666666,0.625,-0.04166666666666663
2,16,63,21,42,0.3333333333333333,11,10,1,0.9090909090909091,True,10,0.19999999999999987,0.39199999999999974,0.28760754082338696,low_dev_samples,0.8,0.5,-0.30000000000000004
2,19,65,11,54,0.16923076923076924,11,2,9,0.18181818181818182,True,18,0.20487876571761973,0.40156238080653467,0.23845667624858075,low_dev_samples,0.33333333333333337,0.3888888888888889,0.055555555555555525
2,10,71,47,24,0.6619718309859155,12,11,1,0.9166666666666666,True,11,0.19694638556693225,0.38601491571118723,0.28489357404458354,low_dev_samples,0.36363636363636365,0.2727272727272727,-0.09090909090909094
2,12,73,19,54,0.2602739726027397,12,3,9,0.25,True,27,0.17020926360112676,0.3336101566582084,0.2008440904930497,low_dev_samples,0.7037037037037037,0.7037037037037037,0.0
2,14,70,26,44,0.37142857142857144,12,3,9,0.25,True,27,0.17020926360112676,0.3336101566582084,0.2008440904930497,low_dev_samples,0.4444444444444444,0.5555555555555556,0.11111111111111116
2,20,72,18,54,0.25,12,1,11,0.08333333333333333,True,11,0.2814105882725794,0.5515647530142557,0.3216742154429371,low_dev_samples,0.5454545454545454,0.7272727272727273,0.18181818181818188
2,5,77,34,43,0.44155844155844154,13,4,9,0.3076923076923077,True,36,0.14989708403591157,0.29379828471038666,0.17909977611714165,low_dev_samples,0.8611111111111112,0.9166666666666667,0.05555555555555558
2,7,78,16,62,0.20512820512820512,13,2,11,0.15384615384615385,True,22,0.20201010075756312,0.3959397974848237,0.23392346924069196,low_dev_samples,1.0,0.9090909090909091,-0.09090909090909094
2,8,78,34,44,0.4358974358974359,13,4,9,0.3076923076923077,True,36,0.14989708403591157,0.29379828471038666,0.17909977611714165,low_dev_samples,0.5277777777777778,0.47222222222222227,-0.055555555555555525
2,11,79,39,40,0.4936708860759494,13,10,3,0.7692307692307693,True,30,0.13443985299781483,0.26350211187571704,0.18325906866915795,low_dev_samples,0.2,0.23333333333333334,0.033333333333333326
2,17,82,12,70,0.14634146341463414,13,4,9,0.3076923076923077,True,36,0.14989708403591157,0.29379828471038666,0.17909977611714165,low_dev_samples,0.4166666666666667,0.4166666666666667,0.0
2,26,75,8,67,0.10666666666666667,13,0,13,0.0,False,0,,,,invalid_auc_one_class,,,
2,0,88,15,73,0.17045454545454544,14,6,8,0.42857142857142855,True,48,0.12838022231434823,0.2516252357361225,0.15784012110557236,low_dev_samples,0.6458333333333334,0.6875,0.04166666666666663
2,2,85,17,68,0.2,14,2,12,0.14285714285714285,True,24,0.2009237924447236,0.39381063319165827,0.23220070110118346,low_dev_samples,0.7083333333333333,0.75,0.04166666666666674
2,13,82,21,61,0.25609756097560976,14,4,10,0.2857142857142857,True,40,0.14832396974191325,0.29071498069414997,0.17641783349745963,low_dev_samples,0.6499999999999999,0.6000000000000001,-0.04999999999999982
2,18,80,11,69,0.1375,14,2,12,0.14285714285714285,True,24,0.2009237924447236,0.39381063319165827,0.23220070110118346,low_dev_samples,0.45833333333333337,0.5416666666666667,0.08333333333333337
2,21,83,30,53,0.3614457831325301,14,4,10,0.2857142857142857,True,40,0.14832396974191325,0.29071498069414997,0.17641783349745963,low_dev_samples,0.9500000000000001,0.9500000000000001,0.0
2,28,86,30,56,0.3488372093023256,14,2,12,0.14285714285714285,True,24,0.2009237924447236,0.39381063319165827,0.23220070110118346,low_dev_samples,0.625,0.75,0.125
2,4,88,40,48,0.45454545454545453,15,10,5,0.6666666666666666,True,50,0.11699952516522825,0.22931906932384738,0.1541332021067795,low_dev_samples,0.7,0.78,0.08000000000000007
2,15,91,20,71,0.21978021978021978,15,7,8,0.4666666666666667,True,56,0.12084359562332875,0.23685344742172434,0.15008777445785948,low_dev_samples,0.625,0.5357142857142857,-0.0892857142857143
3,6,29,3,26,0.10344827586206896,4,3,1,0.75,True,3,0.2666666666666666,0.5226666666666665,0.3501394798848303,very_low_dev_samples,1.0,1.0,0.0
3,23,63,9,54,0.14285714285714285,9,0,9,0.0,False,0,,,,invalid_auc_one_class,,,
3,24,64,9,55,0.140625,9,0,9,0.0,False,0,,,,invalid_auc_one_class,,,
3,29,64,36,28,0.5625,9,3,6,0.3333333333333333,True,18,0.17777777777777776,0.3484444444444444,0.21325936170302764,very_low_dev_samples,1.0,0.9444444444444444,-0.05555555555555558
3,22,72,26,46,0.3611111111111111,10,2,8,0.2,True,16,0.20682789409984761,0.4053826724357013,0.24152390539104018,low_dev_samples,0.6875,0.875,0.1875
3,25,69,6,63,0.08695652173913043,10,2,8,0.2,True,16,0.20682789409984761,0.4053826724357013,0.24152390539104018,low_dev_samples,0.1875,0.125,-0.0625
3,27,72,35,37,0.4861111111111111,10,5,5,0.5,True,25,0.14847371634213388,0.2910084840305824,0.18544194857194146,low_dev_samples,0.56,0.52,-0.040000000000000036
3,1,76,30,46,0.39473684210526316,11,5,6,0.45454545454545453,True,30,0.1440164599646191,0.28227226153065343,0.1779405999487742,low_dev_samples,0.8333333333333334,0.7666666666666667,-0.06666666666666665
3,3,78,42,36,0.5384615384615384,11,9,2,0.8181818181818182,True,18,0.15713484026367716,0.30798428691680724,0.2175267445841223,low_dev_samples,0.4444444444444444,0.5555555555555556,0.11111111111111116
3,9,76,41,35,0.5394736842105263,11,4,7,0.36363636363636365,True,28,0.15430334996209188,0.3024345659257001,0.1865501331400257,low_dev_samples,0.6071428571428572,0.4285714285714286,-0.1785714285714286
3,16,74,31,43,0.4189189189189189,11,7,4,0.6363636363636364,True,28,0.1380131118684708,0.27050569926220275,0.17936433573438484,low_dev_samples,0.7857142857142857,0.6785714285714286,-0.1071428571428571
3,19,76,13,63,0.17105263157894737,11,2,9,0.18181818181818182,True,18,0.20487876571761973,0.40156238080653467,0.23845667624858075,low_dev_samples,0.8888888888888888,0.8888888888888888,0.0
3,10,83,58,25,0.6987951807228916,12,7,5,0.5833333333333334,True,35,0.1314147680812216,0.25757294543919435,0.16826608385752487,low_dev_samples,0.5714285714285714,0.45714285714285713,-0.11428571428571427
3,12,85,22,63,0.25882352941176473,12,3,9,0.25,True,27,0.17020926360112676,0.3336101566582084,0.2008440904930497,low_dev_samples,0.7407407407407407,0.5925925925925926,-0.14814814814814814
3,14,82,29,53,0.35365853658536583,12,6,6,0.5,True,36,0.134256066373273,0.2631418900916151,0.16795440616181057,low_dev_samples,0.5,0.3333333333333333,-0.16666666666666669
3,20,84,19,65,0.2261904761904762,12,2,10,0.16666666666666666,True,20,0.2033060090930254,0.3984797778223298,0.2359741894895811,low_dev_samples,0.7,0.75,0.050000000000000044
3,5,90,38,52,0.4222222222222222,13,8,5,0.6153846153846154,True,40,0.12560962454277844,0.24619486410384572,0.16252680414721338,low_dev_samples,0.375,0.375,0.0
3,7,91,18,73,0.1978021978021978,13,0,13,0.0,False,0,,,,invalid_auc_one_class,,,
3,8,91,38,53,0.4175824175824176,13,3,10,0.23076923076923078,True,30,0.16865480854231354,0.33056342474293454,0.198267766801313,low_dev_samples,0.6,0.6,0.0
3,11,92,49,43,0.532608695652174,13,8,5,0.6153846153846154,True,40,0.12560962454277844,0.24619486410384572,0.16252680414721338,low_dev_samples,0.925,0.85,-0.07500000000000007
3,18,94,13,81,0.13829787234042554,13,0,13,0.0,False,0,,,,invalid_auc_one_class,,,
3,26,88,8,80,0.09090909090909091,13,0,13,0.0,False,0,,,,invalid_auc_one_class,,,
3,2,99,19,80,0.1919191919191919,14,4,10,0.2857142857142857,True,40,0.14832396974191325,0.29071498069414997,0.17641783349745963,low_dev_samples,0.5,0.7,0.19999999999999996
3,13,96,25,71,0.2604166666666667,14,1,13,0.07142857142857142,True,13,0.2791929761808451,0.5472182333144564,0.3184762908442652,low_dev_samples,0.7692307692307692,0.46153846153846156,-0.3076923076923076
3,17,95,16,79,0.16842105263157894,14,5,9,0.35714285714285715,True,45,0.13626408637116347,0.26707760928748037,0.1646807774961857,low_dev_samples,0.2666666666666667,0.22222222222222224,-0.04444444444444448
3,21,97,34,63,0.35051546391752575,14,2,12,0.14285714285714285,True,24,0.2009237924447236,0.39381063319165827,0.23220070110118346,low_dev_samples,1.0,0.9166666666666666,-0.08333333333333337
3,28,100,32,68,0.32,14,0,14,0.0,False,0,,,,invalid_auc_one_class,,,
3,0,102,21,81,0.20588235294117646,15,4,11,0.26666666666666666,True,44,0.14702435722070548,0.28816774015258273,0.17419280625785574,low_dev_samples,0.5454545454545454,0.5454545454545454,0.0
3,4,103,50,53,0.4854368932038835,15,10,5,0.6666666666666666,True,50,0.11699952516522825,0.22931906932384738,0.1541332021067795,low_dev_samples,0.4599999999999999,0.48,0.020000000000000073
3,15,106,27,79,0.25471698113207547,15,6,9,0.4,True,54,0.12636090451282947,0.24766737284514576,0.15432145322164442,low_dev_samples,0.6666666666666667,0.7222222222222222,0.05555555555555547
