phase,protocol_id,split_version,seed,fold,user_id,session_id,context_event_count,positive_count,negative_count,diagnostic_pair_count,mean_reliability,label_free_policy_weight,mean_history_count,mean_session_position,context_eeg_std,context_base_std
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,2,3,10,1,9,9,1.0,3.1622776601683795,75.5,9.5,1.064066394343141,0.5356532724080472
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,10,3,10,8,2,16,1.0,3.1622776601683795,65.5,5.5,0.9726291644949383,0.2543427329562645
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,11,5,10,9,1,9,1.0,3.1622776601683795,73.5,5.5,1.4142700741138203,0.29024516980216086
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,22,4,10,1,9,9,1.0,3.1622776601683795,56.5,12.5,0.802195822523094,0.41231013992016424
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,25,2,10,0,10,0,1.0,3.1622776601683795,53.5,13.5,0.40921870315951037,0.30005134639382436
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,27,3,10,5,5,25,1.0,3.1622776601683795,56.5,20.5,1.3000779529649276,0.34304771610130247
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,28,4,10,1,9,9,1.0,3.1622776601683795,80.5,5.5,0.7282058501068648,0.5915619900661507
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,5,5,9,4,5,20,1.0,3.0,72.0,5.0,0.642193981425833,0.15873030342296546
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,12,3,9,2,7,14,1.0,3.0,65.0,21.0,1.8038372493469144,0.594333370972621
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,3,4,8,8,0,0,1.0,2.8284271247461903,62.5,4.5,0.7988583257667492,0.15454680616866215
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,8,3,8,6,2,12,1.0,2.8284271247461903,68.5,26.5,1.0944110059987302,0.37559568257091364
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,24,2,8,2,6,12,1.0,2.8284271247461903,49.5,10.5,0.5191406857077826,0.27307782401628017
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,9,4,6,2,4,8,1.0,2.449489742783178,61.5,3.5,0.7249576823448542,0.23722022994101036
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,14,4,6,1,5,5,1.0,2.449489742783178,61.5,11.5,1.0896235940913903,0.24083961818809246
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,23,3,6,0,6,0,1.0,2.449489742783178,50.5,3.5,0.2546225350487802,0.21106582560762518
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,29,4,6,2,4,8,1.0,2.449489742783178,51.5,3.5,0.7106460194801087,0.25963242668161013
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,8,4,5,1,4,4,1.0,2.23606797749979,75.0,3.0,1.209248502510833,0.5106685458764089
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,9,3,5,1,4,4,1.0,2.23606797749979,56.0,15.0,0.9095946738147193,0.1285970809238212
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,14,5,5,4,1,4,1.0,2.23606797749979,67.0,3.0,0.45056537626329074,0.25715479499253907
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,16,2,5,1,4,4,1.0,2.23606797749979,55.0,16.0,0.29397473519825734,0.3204466529177645
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,16,3,5,4,1,4,1.0,2.23606797749979,60.0,3.0,0.320472277402829,0.23428198796980246
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,2,4,4,2,2,4,1.0,2.0,82.5,2.5,1.3871624435934053,0.6439757453846972
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,6,2,4,0,4,0,1.0,2.0,22.5,2.5,0.8455401469490283,0.2139520131112092
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,28,3,4,1,3,3,1.0,2.0,73.5,23.5,0.2358380906002196,0.08845412432047532
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,3,3,3,1,2,2,1.0,1.7320508075688772,57.0,17.0,0.17181621497285832,0.3052014739621279
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,5,4,3,3,0,0,1.0,1.7320508075688772,66.0,22.0,0.21389184350730364,0.02401927995831285
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,11,4,3,3,0,0,1.0,1.7320508075688772,67.0,19.0,0.9590446221510854,0.3087083645174342
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,12,4,3,2,1,2,1.0,1.7320508075688772,71.0,2.0,0.39569420451745985,0.21639096221667284
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,23,2,3,1,2,2,1.0,1.7320508075688772,46.0,27.0,0.45101931468756834,0.3183693618758487
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,29,3,3,3,0,0,1.0,1.7320508075688772,47.0,13.0,0.196568211546562,0.06876234215471744
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,10,2,1,1,0,0,1.0,1.0,60.0,33.0,0.0,0.0
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,20,5,1,1,0,0,1.0,1.0,71.0,1.0,0.0,0.0
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,24,3,1,0,1,0,1.0,1.0,54.0,1.0,0.0,0.0
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,0,2,15,6,9,54,1.0,3.872983346207417,80.0,38.0,3.0640412966617845,0.3302108748921972
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,15,4,15,7,8,56,1.0,3.872983346207417,83.0,17.0,1.6614938167900564,0.411500871842443
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,4,4,14,10,4,40,1.0,3.7416573867739413,80.5,7.5,1.5685746601904498,0.5297006997400051
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,17,4,14,4,10,40,1.0,3.7416573867739413,74.5,8.5,1.2650018777022765,0.37817430649613726
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,7,4,13,5,8,40,1.0,3.605551275463989,71.0,27.0,0.5147468134350024,0.21088786144756838
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,13,3,13,3,10,30,1.0,3.605551275463989,75.0,22.0,2.4456657031534705,0.43463261543938553
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,18,5,13,5,8,40,1.0,3.605551275463989,73.0,9.0,0.7377707552910845,0.2435736234931037
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,21,3,13,4,9,36,1.0,3.605551275463989,76.0,15.0,0.6730566364475652,0.32409318198978193
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,26,3,12,1,11,11,1.0,3.4641016151377544,68.5,10.5,1.2906945989804302,0.4433237385600309
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,1,4,11,4,7,28,1.0,3.3166247903554,59.0,8.0,1.499290159431677,0.4057152827925604
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,19,4,11,3,8,24,1.0,3.3166247903554,59.0,8.0,1.705109787603995,0.3207339295310335
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,20,4,11,1,10,10,1.0,3.3166247903554,65.0,6.0,0.8389525453356801,0.17911431751011359
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,2,3,10,1,9,9,1.0,3.1622776601683795,75.5,9.5,1.0380021634882795,0.5356532724080472
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,10,3,10,8,2,16,1.0,3.1622776601683795,65.5,5.5,0.5884760408462816,0.2543427329562645
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,11,5,10,9,1,9,1.0,3.1622776601683795,73.5,5.5,1.47458433883503,0.29024516980216086
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,22,4,10,1,9,9,1.0,3.1622776601683795,56.5,12.5,0.8070097024181478,0.41231013992016424
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,25,2,10,0,10,0,1.0,3.1622776601683795,53.5,13.5,0.48560858272383467,0.30005134639382436
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,27,3,10,5,5,25,1.0,3.1622776601683795,56.5,20.5,0.808176766093746,0.34304771610130247
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,28,4,10,1,9,9,1.0,3.1622776601683795,80.5,5.5,0.5642447186273635,0.5915619900661507
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,5,5,9,4,5,20,1.0,3.0,72.0,5.0,0.6379706526479926,0.15873030342296546
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,12,3,9,2,7,14,1.0,3.0,65.0,21.0,1.8939048763472695,0.594333370972621
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,3,4,8,8,0,0,1.0,2.8284271247461903,62.5,4.5,0.7975178417840555,0.15454680616866215
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,8,3,8,6,2,12,1.0,2.8284271247461903,68.5,26.5,1.1804820314586169,0.37559568257091364
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,24,2,8,2,6,12,1.0,2.8284271247461903,49.5,10.5,0.6242964731834751,0.27307782401628017
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,9,4,6,2,4,8,1.0,2.449489742783178,61.5,3.5,0.6952043517984874,0.23722022994101036
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,14,4,6,1,5,5,1.0,2.449489742783178,61.5,11.5,1.2656194646334735,0.24083961818809246
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,23,3,6,0,6,0,1.0,2.449489742783178,50.5,3.5,0.3059910101474317,0.21106582560762518
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,29,4,6,2,4,8,1.0,2.449489742783178,51.5,3.5,0.5715167852087195,0.25963242668161013
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,8,4,5,1,4,4,1.0,2.23606797749979,75.0,3.0,1.402760786540668,0.5106685458764089
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,9,3,5,1,4,4,1.0,2.23606797749979,56.0,15.0,0.9600385097942501,0.1285970809238212
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,14,5,5,4,1,4,1.0,2.23606797749979,67.0,3.0,0.6956856538314279,0.25715479499253907
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,16,2,5,1,4,4,1.0,2.23606797749979,55.0,16.0,0.2841939007448777,0.3204466529177645
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,16,3,5,4,1,4,1.0,2.23606797749979,60.0,3.0,0.41552135100138965,0.23428198796980246
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,2,4,4,2,2,4,1.0,2.0,82.5,2.5,1.3180130092572175,0.6439757453846972
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,6,2,4,0,4,0,1.0,2.0,22.5,2.5,0.6506620931262395,0.2139520131112092
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,28,3,4,1,3,3,1.0,2.0,73.5,23.5,0.26275918686273697,0.08845412432047532
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,3,3,3,1,2,2,1.0,1.7320508075688772,57.0,17.0,0.18680636136708076,0.3052014739621279
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,5,4,3,3,0,0,1.0,1.7320508075688772,66.0,22.0,0.2754882204252531,0.02401927995831285
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,11,4,3,3,0,0,1.0,1.7320508075688772,67.0,19.0,1.0497007078975764,0.3087083645174342
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,12,4,3,2,1,2,1.0,1.7320508075688772,71.0,2.0,0.37231639213803724,0.21639096221667284
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,23,2,3,1,2,2,1.0,1.7320508075688772,46.0,27.0,0.3353705486687145,0.3183693618758487
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,29,3,3,3,0,0,1.0,1.7320508075688772,47.0,13.0,0.26033353160449124,0.06876234215471744
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,10,2,1,1,0,0,1.0,1.0,60.0,33.0,0.0,0.0
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,20,5,1,1,0,0,1.0,1.0,71.0,1.0,0.0,0.0
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,24,3,1,0,1,0,1.0,1.0,54.0,1.0,0.0,0.0
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,0,2,15,6,9,54,1.0,3.872983346207417,80.0,38.0,2.5327250686961422,0.3302108748921972
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,15,4,15,7,8,56,1.0,3.872983346207417,83.0,17.0,1.5240942736620526,0.411500871842443
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,4,4,14,10,4,40,1.0,3.7416573867739413,80.5,7.5,1.3453048614144394,0.5297006997400051
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,17,4,14,4,10,40,1.0,3.7416573867739413,74.5,8.5,1.03887167746178,0.37817430649613726
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,7,4,13,5,8,40,1.0,3.605551275463989,71.0,27.0,0.4203142416404984,0.21088786144756838
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,13,3,13,3,10,30,1.0,3.605551275463989,75.0,22.0,3.161425239477957,0.43463261543938553
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,18,5,13,5,8,40,1.0,3.605551275463989,73.0,9.0,0.7061083392540118,0.2435736234931037
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,21,3,13,4,9,36,1.0,3.605551275463989,76.0,15.0,0.6548450976016025,0.32409318198978193
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,26,3,12,1,11,11,1.0,3.4641016151377544,68.5,10.5,1.416654882250564,0.4433237385600309
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,1,4,11,4,7,28,1.0,3.3166247903554,59.0,8.0,1.2983506490273025,0.4057152827925604
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,19,4,11,3,8,24,1.0,3.3166247903554,59.0,8.0,1.5131248462570686,0.3207339295310335
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,20,4,11,1,10,10,1.0,3.3166247903554,65.0,6.0,0.6157403915966638,0.17911431751011359
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,2,3,10,1,9,9,1.0,3.1622776601683795,75.5,9.5,0.9902174144065427,0.5356532724080472
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,10,3,10,8,2,16,1.0,3.1622776601683795,65.5,5.5,0.8084413248074631,0.2543427329562645
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,11,5,10,9,1,9,1.0,3.1622776601683795,73.5,5.5,1.5072411914920596,0.29024516980216086
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,22,4,10,1,9,9,1.0,3.1622776601683795,56.5,12.5,0.6410124563142683,0.41231013992016424
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,25,2,10,0,10,0,1.0,3.1622776601683795,53.5,13.5,0.43545289751564414,0.30005134639382436
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,27,3,10,5,5,25,1.0,3.1622776601683795,56.5,20.5,0.8432333924656016,0.34304771610130247
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,28,4,10,1,9,9,1.0,3.1622776601683795,80.5,5.5,0.7966058953244491,0.5915619900661507
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,5,5,9,4,5,20,1.0,3.0,72.0,5.0,0.7084762072873644,0.15873030342296546
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,12,3,9,2,7,14,1.0,3.0,65.0,21.0,1.677180448753994,0.594333370972621
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,3,4,8,8,0,0,1.0,2.8284271247461903,62.5,4.5,0.7927129123505307,0.15454680616866215
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,8,3,8,6,2,12,1.0,2.8284271247461903,68.5,26.5,1.0264601398855027,0.37559568257091364
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,24,2,8,2,6,12,1.0,2.8284271247461903,49.5,10.5,0.592865347422772,0.27307782401628017
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,9,4,6,2,4,8,1.0,2.449489742783178,61.5,3.5,0.5543077111574,0.23722022994101036
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,14,4,6,1,5,5,1.0,2.449489742783178,61.5,11.5,1.0069293839400606,0.24083961818809246
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,23,3,6,0,6,0,1.0,2.449489742783178,50.5,3.5,0.3364124396899748,0.21106582560762518
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,29,4,6,2,4,8,1.0,2.449489742783178,51.5,3.5,0.8118721135563659,0.25963242668161013
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,8,4,5,1,4,4,1.0,2.23606797749979,75.0,3.0,1.1597789143522064,0.5106685458764089
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,9,3,5,1,4,4,1.0,2.23606797749979,56.0,15.0,1.0036333729844331,0.1285970809238212
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,14,5,5,4,1,4,1.0,2.23606797749979,67.0,3.0,0.44784601769773447,0.25715479499253907
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,16,2,5,1,4,4,1.0,2.23606797749979,55.0,16.0,0.2905982233569064,0.3204466529177645
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,16,3,5,4,1,4,1.0,2.23606797749979,60.0,3.0,0.3004732128334015,0.23428198796980246
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,2,4,4,2,2,4,1.0,2.0,82.5,2.5,1.142957671096169,0.6439757453846972
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,6,2,4,0,4,0,1.0,2.0,22.5,2.5,0.9545333287220279,0.2139520131112092
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,28,3,4,1,3,3,1.0,2.0,73.5,23.5,0.34027689970815855,0.08845412432047532
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,3,3,3,1,2,2,1.0,1.7320508075688772,57.0,17.0,0.14275675604715599,0.3052014739621279
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,5,4,3,3,0,0,1.0,1.7320508075688772,66.0,22.0,0.2403201106294218,0.02401927995831285
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,11,4,3,3,0,0,1.0,1.7320508075688772,67.0,19.0,1.1288891072831295,0.3087083645174342
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,12,4,3,2,1,2,1.0,1.7320508075688772,71.0,2.0,0.20470469132645028,0.21639096221667284
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,23,2,3,1,2,2,1.0,1.7320508075688772,46.0,27.0,0.44648649815583874,0.3183693618758487
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,29,3,3,3,0,0,1.0,1.7320508075688772,47.0,13.0,0.32988387285334597,0.06876234215471744
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,10,2,1,1,0,0,1.0,1.0,60.0,33.0,0.0,0.0
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,20,5,1,1,0,0,1.0,1.0,71.0,1.0,0.0,0.0
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,1,24,3,1,0,1,0,1.0,1.0,54.0,1.0,0.0,0.0
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2029,1,0,2,15,6,9,54,1.0,3.872983346207417,80.0,38.0,3.022017613692243,0.3302108748921972
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2029,1,15,4,15,7,8,56,1.0,3.872983346207417,83.0,17.0,1.6864321777805564,0.411500871842443
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2029,1,4,4,14,10,4,40,1.0,3.7416573867739413,80.5,7.5,1.44950933892732,0.5297006997400051
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2029,1,17,4,14,4,10,40,1.0,3.7416573867739413,74.5,8.5,1.1302329934318536,0.37817430649613726
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2029,1,7,4,13,5,8,40,1.0,3.605551275463989,71.0,27.0,0.6322038776049089,0.21088786144756838
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2029,1,13,3,13,3,10,30,1.0,3.605551275463989,75.0,22.0,2.5942714541365675,0.43463261543938553
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2029,1,18,5,13,5,8,40,1.0,3.605551275463989,73.0,9.0,0.7776470598580838,0.2435736234931037
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2029,1,21,3,13,4,9,36,1.0,3.605551275463989,76.0,15.0,0.7515536067713368,0.32409318198978193
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2029,1,26,3,12,1,11,11,1.0,3.4641016151377544,68.5,10.5,1.1188579188785923,0.4433237385600309
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2029,1,1,4,11,4,7,28,1.0,3.3166247903554,59.0,8.0,1.3178124198323333,0.4057152827925604
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2029,1,19,4,11,3,8,24,1.0,3.3166247903554,59.0,8.0,1.65871962415798,0.3207339295310335
