fold,split,user_id,session_id,event_count,positive_count,negative_count,possible_pair_count,valid_pair_context
1,dev,18,5,13,5,8,40,True
1,dev,19,4,11,3,8,24,True
1,dev,20,4,11,1,10,10,True
1,dev,20,5,1,1,0,0,False
1,dev,21,3,13,4,9,36,True
1,dev,22,4,10,1,9,9,True
1,dev,23,2,3,1,2,2,True
1,dev,23,3,6,0,6,0,False
1,dev,24,2,8,2,6,12,True
1,dev,24,3,1,0,1,0,False
1,dev,25,2,10,0,10,0,False
1,dev,26,3,12,1,11,11,True
1,dev,27,3,10,5,5,25,True
1,dev,28,3,4,1,3,3,True
1,dev,28,4,10,1,9,9,True
1,dev,29,3,3,3,0,0,False
1,dev,29,4,6,2,4,8,True
2,train,0,1,43,9,34,306,True
2,train,0,2,45,6,39,234,True
2,train,1,1,22,3,19,57,True
2,train,1,2,17,10,7,70,True
2,train,1,3,13,7,6,42,True
2,train,1,4,13,4,9,36,True
2,train,2,1,42,5,37,185,True
2,train,2,2,25,7,18,126,True
2,train,2,3,14,3,11,33,True
2,train,2,4,4,2,2,4,True
2,train,3,1,20,7,13,91,True
2,train,3,2,21,9,12,108,True
2,train,3,3,18,10,8,80,True
2,train,3,4,8,8,0,0,False
2,train,4,1,23,3,20,60,True
2,train,4,2,23,12,11,132,True
2,train,4,3,28,15,13,195,True
2,train,4,4,14,10,4,40,True
2,train,5,1,26,12,14,168,True
2,train,5,2,13,8,5,40,True
2,train,5,3,6,4,2,8,True
2,train,5,4,23,6,17,102,True
2,train,5,5,9,4,5,20,True
2,train,6,1,21,3,18,54,True
2,train,6,2,4,0,4,0,False
2,train,7,1,15,2,13,26,True
2,train,7,2,17,3,14,42,True
2,train,7,3,13,2,11,22,True
2,train,7,4,33,9,24,216,True
2,train,8,1,20,7,13,91,True
2,train,8,2,23,9,14,126,True
2,train,8,3,30,17,13,221,True
2,train,8,4,5,1,4,4,True
2,train,9,1,26,13,13,169,True
2,train,9,2,16,13,3,39,True
2,train,9,3,17,10,7,70,True
2,train,9,4,6,2,4,8,True
2,train,10,1,28,16,12,192,True
2,train,10,2,33,23,10,230,True
2,train,10,3,10,8,2,16,True
2,train,11,1,13,3,10,30,True
2,train,11,2,16,8,8,64,True
2,train,11,3,20,7,13,91,True
2,train,11,4,20,12,8,96,True
2,train,11,5,10,9,1,9,True
2,train,12,1,22,4,18,72,True
2,train,12,2,23,6,17,102,True
2,train,12,3,25,7,18,126,True
2,train,12,4,3,2,1,2,True
2,train,13,1,29,4,25,100,True
2,train,13,2,25,7,18,126,True
2,train,13,3,28,10,18,180,True
2,train,14,1,15,4,11,44,True
2,train,14,2,17,5,12,60,True
2,train,14,3,19,10,9,90,True
2,train,14,4,14,3,11,33,True
2,train,14,5,5,4,1,4,True
2,train,15,1,19,0,19,0,False
2,train,15,2,23,2,21,42,True
2,train,15,3,25,7,18,126,True
2,train,15,4,24,11,13,143,True
2,train,16,1,40,14,26,364,True
2,train,16,2,18,3,15,45,True
2,train,16,3,5,4,1,4,True
2,train,17,1,21,0,21,0,False
2,train,17,2,20,4,16,64,True
2,train,17,3,26,4,22,88,True
2,train,17,4,15,4,11,44,True
2,train,18,1,10,0,10,0,False
2,train,18,2,21,2,19,38,True
2,train,18,3,18,0,18,0,False
2,train,18,4,16,2,14,28,True
2,train,18,5,15,7,8,56,True
2,train,19,1,13,1,12,12,True
2,train,19,2,16,4,12,48,True
2,train,19,3,23,3,20,60,True
2,train,19,4,13,3,10,30,True
2,train,20,1,17,6,11,66,True
2,train,20,2,28,6,22,132,True
2,train,20,3,15,4,11,44,True
2,train,20,4,11,1,10,10,True
2,train,20,5,1,1,0,0,False
2,train,21,1,32,12,20,240,True
2,train,21,2,30,9,21,189,True
2,train,21,3,21,9,12,108,True
2,train,22,1,16,7,9,63,True
2,train,22,2,15,8,7,56,True
2,train,22,3,14,7,7,49,True
2,train,22,4,17,2,15,30,True
2,train,23,1,20,5,15,75,True
2,train,23,2,28,3,25,75,True
2,train,23,3,6,0,6,0,False
2,train,24,1,40,4,36,144,True
2,train,24,2,14,5,9,45,True
2,train,24,3,1,0,1,0,False
2,train,25,1,41,6,35,210,True
2,train,25,2,18,0,18,0,False
2,train,26,1,30,4,26,104,True
2,train,26,2,29,3,26,78,True
2,train,26,3,16,1,15,15,True
2,train,27,1,16,7,9,63,True
2,train,27,2,21,14,7,98,True
2,train,27,3,25,11,14,154,True
2,train,28,1,20,12,8,96,True
2,train,28,2,31,11,20,220,True
2,train,28,3,25,6,19,114,True
2,train,28,4,10,1,9,9,True
2,train,29,1,22,8,14,112,True
2,train,29,2,13,9,4,36,True
2,train,29,3,14,14,0,0,False
2,train,29,4,6,2,4,8,True
2,dev,0,2,8,2,6,12,True
2,dev,0,3,6,4,2,8,True
2,dev,1,4,11,6,5,30,True
2,dev,2,4,14,2,12,24,True
2,dev,3,4,11,8,3,24,True
2,dev,4,4,11,6,5,30,True
2,dev,4,5,4,4,0,0,False
2,dev,5,5,2,0,2,0,False
2,dev,5,6,11,4,7,28,True
2,dev,6,2,4,0,4,0,False
2,dev,7,4,8,2,6,12,True
2,dev,7,5,5,0,5,0,False
2,dev,8,4,13,4,9,36,True
2,dev,9,4,11,3,8,24,True
2,dev,10,3,11,10,1,10,True
2,dev,10,4,1,1,0,0,False
2,dev,11,5,13,10,3,30,True
2,dev,12,4,12,3,9,27,True
2,dev,13,4,14,4,10,40,True
2,dev,14,5,12,3,9,27,True
2,dev,15,4,1,1,0,0,False
2,dev,15,5,14,6,8,48,True
2,dev,16,3,8,7,1,7,True
2,dev,16,4,3,3,0,0,False
2,dev,17,4,9,2,7,14,True
2,dev,17,5,4,2,2,4,True
2,dev,18,5,14,2,12,24,True
2,dev,19,4,8,2,6,12,True
2,dev,19,5,3,0,3,0,False
2,dev,20,5,12,1,11,11,True
2,dev,21,3,4,1,3,3,True
2,dev,21,4,10,3,7,21,True
2,dev,22,4,10,2,8,16,True
2,dev,23,3,9,1,8,8,True
2,dev,24,3,9,0,9,0,False
2,dev,25,2,3,0,3,0,False
2,dev,25,3,7,0,7,0,False
2,dev,26,3,13,0,13,0,False
2,dev,27,4,10,3,7,21,True
2,dev,28,4,14,2,12,24,True
2,dev,29,4,4,1,3,3,True
2,dev,29,5,5,2,3,6,True
3,train,0,1,43,9,34,306,True
3,train,0,2,53,8,45,360,True
3,train,0,3,6,4,2,8,True
3,train,1,1,22,3,19,57,True
3,train,1,2,17,10,7,70,True
3,train,1,3,13,7,6,42,True
3,train,1,4,24,10,14,140,True
3,train,2,1,42,5,37,185,True
3,train,2,2,25,7,18,126,True
3,train,2,3,14,3,11,33,True
3,train,2,4,18,4,14,56,True
3,train,3,1,20,7,13,91,True
3,train,3,2,21,9,12,108,True
3,train,3,3,18,10,8,80,True
3,train,3,4,19,16,3,48,True
3,train,4,1,23,3,20,60,True
3,train,4,2,23,12,11,132,True
3,train,4,3,28,15,13,195,True
3,train,4,4,25,16,9,144,True
3,train,4,5,4,4,0,0,False
3,train,5,1,26,12,14,168,True
3,train,5,2,13,8,5,40,True
3,train,5,3,6,4,2,8,True
3,train,5,4,23,6,17,102,True
3,train,5,5,11,4,7,28,True
3,train,5,6,11,4,7,28,True
3,train,6,1,21,3,18,54,True
3,train,6,2,8,0,8,0,False
3,train,7,1,15,2,13,26,True
3,train,7,2,17,3,14,42,True
3,train,7,3,13,2,11,22,True
3,train,7,4,41,11,30,330,True
3,train,7,5,5,0,5,0,False
3,train,8,1,20,7,13,91,True
3,train,8,2,23,9,14,126,True
3,train,8,3,30,17,13,221,True
3,train,8,4,18,5,13,65,True
3,train,9,1,26,13,13,169,True
3,train,9,2,16,13,3,39,True
3,train,9,3,17,10,7,70,True
3,train,9,4,17,5,12,60,True
3,train,10,1,28,16,12,192,True
3,train,10,2,33,23,10,230,True
3,train,10,3,21,18,3,54,True
3,train,10,4,1,1,0,0,False
3,train,11,1,13,3,10,30,True
3,train,11,2,16,8,8,64,True
3,train,11,3,20,7,13,91,True
3,train,11,4,20,12,8,96,True
3,train,11,5,23,19,4,76,True
3,train,12,1,22,4,18,72,True
3,train,12,2,23,6,17,102,True
3,train,12,3,25,7,18,126,True
3,train,12,4,15,5,10,50,True
3,train,13,1,29,4,25,100,True
3,train,13,2,25,7,18,126,True
3,train,13,3,28,10,18,180,True
3,train,13,4,14,4,10,40,True
3,train,14,1,15,4,11,44,True
3,train,14,2,17,5,12,60,True
3,train,14,3,19,10,9,90,True
3,train,14,4,14,3,11,33,True
3,train,14,5,17,7,10,70,True
3,train,15,1,19,0,19,0,False
3,train,15,2,23,2,21,42,True
3,train,15,3,25,7,18,126,True
3,train,15,4,25,12,13,156,True
3,train,15,5,14,6,8,48,True
3,train,16,1,40,14,26,364,True
3,train,16,2,18,3,15,45,True
3,train,16,3,13,11,2,22,True
3,train,16,4,3,3,0,0,False
3,train,17,1,21,0,21,0,False
3,train,17,2,20,4,16,64,True
3,train,17,3,26,4,22,88,True
3,train,17,4,24,6,18,108,True
3,train,17,5,4,2,2,4,True
3,train,18,1,10,0,10,0,False
3,train,18,2,21,2,19,38,True
3,train,18,3,18,0,18,0,False
3,train,18,4,16,2,14,28,True
3,train,18,5,29,9,20,180,True
3,train,19,1,13,1,12,12,True
3,train,19,2,16,4,12,48,True
3,train,19,3,23,3,20,60,True
3,train,19,4,21,5,16,80,True
3,train,19,5,3,0,3,0,False
3,train,20,1,17,6,11,66,True
3,train,20,2,28,6,22,132,True
3,train,20,3,15,4,11,44,True
3,train,20,4,11,1,10,10,True
3,train,20,5,13,2,11,22,True
3,train,21,1,32,12,20,240,True
3,train,21,2,30,9,21,189,True
3,train,21,3,25,10,15,150,True
3,train,21,4,10,3,7,21,True
3,train,22,1,16,7,9,63,True
3,train,22,2,15,8,7,56,True
3,train,22,3,14,7,7,49,True
3,train,22,4,27,4,23,92,True
3,train,23,1,20,5,15,75,True
3,train,23,2,28,3,25,75,True
3,train,23,3,15,1,14,14,True
3,train,24,1,40,4,36,144,True
3,train,24,2,14,5,9,45,True
3,train,24,3,10,0,10,0,False
3,train,25,1,41,6,35,210,True
3,train,25,2,21,0,21,0,False
3,train,25,3,7,0,7,0,False
3,train,26,1,30,4,26,104,True
3,train,26,2,29,3,26,78,True
3,train,26,3,29,1,28,28,True
3,train,27,1,16,7,9,63,True
3,train,27,2,21,14,7,98,True
3,train,27,3,25,11,14,154,True
3,train,27,4,10,3,7,21,True
3,train,28,1,20,12,8,96,True
3,train,28,2,31,11,20,220,True
3,train,28,3,25,6,19,114,True
3,train,28,4,24,3,21,63,True
3,train,29,1,22,8,14,112,True
3,train,29,2,13,9,4,36,True
3,train,29,3,14,14,0,0,False
3,train,29,4,10,3,7,21,True
3,train,29,5,5,2,3,6,True
3,dev,0,3,15,4,11,44,True
3,dev,1,4,1,0,1,0,False
3,dev,1,5,10,5,5,25,True
3,dev,2,4,14,4,10,40,True
3,dev,3,4,11,9,2,18,True
3,dev,4,5,15,10,5,50,True
3,dev,5,6,6,5,1,5,True
3,dev,5,7,7,3,4,12,True
3,dev,6,2,4,3,1,3,True
3,dev,7,5,13,0,13,0,False
3,dev,8,4,5,1,4,4,True
3,dev,8,5,8,2,6,12,True
3,dev,9,4,2,1,1,1,True
3,dev,9,5,9,3,6,18,True
3,dev,10,4,12,7,5,35,True
3,dev,11,5,1,1,0,0,False
3,dev,11,6,12,7,5,35,True
3,dev,12,4,12,3,9,27,True
3,dev,13,4,14,1,13,13,True
3,dev,14,6,12,6,6,36,True
3,dev,15,5,11,4,7,28,True
3,dev,15,6,4,2,2,4,True
3,dev,16,4,11,7,4,28,True
3,dev,17,5,14,5,9,45,True
3,dev,18,5,4,0,4,0,False
3,dev,18,6,9,0,9,0,False
3,dev,19,5,11,2,9,18,True
3,dev,20,5,12,2,10,20,True
3,dev,21,4,14,2,12,24,True
3,dev,22,4,10,2,8,16,True
3,dev,23,3,3,0,3,0,False
3,dev,23,4,6,0,6,0,False
3,dev,24,3,9,0,9,0,False
3,dev,25,3,1,0,1,0,False
3,dev,25,4,9,2,7,14,True
3,dev,26,3,13,0,13,0,False
3,dev,27,4,10,5,5,25,True
3,dev,28,4,14,0,14,0,False
3,dev,29,5,9,3,6,18,True
